Species;Family;Author;Synonyms;LocalName;Comments;FileNamePhoto;FileNameID;Location;LocationColour;FigOneWidth;FigTwoWidth
Tragopogon porrifolius;Asteraceae;L.;;;;Tragopogon_porrifolius_flower.jpg;Tragopogon_porrifolius_flower_under.jpg;;;;
Urospermum picroides;Asteraceae;(L.) Scop. ex F.W.Schmidt;;;;Urospermum_picroides_flower.jpg;Urospermum_picroides_whole.jpg;;;;
Echium bethencourtii;Boraginaceae;A.Santos;;;Echium bethencourtii x webbii exists;Echium_bethencourtii_photo.jpg;Echium_bethencourtii_ID;;;;
Echium brevirame;Boraginaceae;Sprague \& Hutch.;;;;Echium_brevirame_flower.jpg;Echium_brevirame_whole.jpg;\textcolor{green}{SS};;;
Echium perezii;Boraginaceae;Sprague;;;;Echium_perezii_flower.jpg;Echium_perezii_whole.jpg;;;;
Echium plantagineum;Boraginaceae;L.;;;;Echium_plantagineum_close.jpg;Echium_plantagineum_whole.jpg;\textcolor{green}{SS};;;
Echium thyrsiflorum;Boraginaceae;Masson ex Link;;;;Echium_thyrsiflorum_ID.jpg;Echium_thyrsiflorum_photo.jpg;\textcolor{green}{SS};;;
Echium webbii;Boraginaceae;Coincy;;;;Echium_webbii_photo.jpg;Echium_webbii_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Echium wildpretii;Boraginaceae;H.Pearson ex Hook.f.;;;;Echium_wildpretii_flower.jpg;Echium_wildpretii_whole.jpg;;;;
Myosotis latifolia;Boraginaceae;Poir.;;;;Myosotis_latifolia_whole.jpg;;\textcolor{red}{NN};;;
Arabis caucasica;Brassicaceae;Willd.;;;;Arabis_caucasica_flower.jpg;Arabis_caucasica_close.jpg;\textcolor{green}{SS};;;
Capsella bursa-pastoris;Brassicaceae;(L.) Medik.;;;;Capsella_bursa-pastoris_flower.jpg;Capsella_bursa-pastoris_sketch.jpg;;;;
Capsella rubella;Brassicaceae;Reut.;;;;Capsella_rubella_close.jpg;Capsella_rubella_sketch.jpg;;;;
Cardamine hirsuta;Brassicaceae;L.;;;;Cardamine_hirsuta_flower.jpg;Cardamine_hirsuta_sketch.jpg;;;;
Descurainia gilva;Brassicaceae;Svent.;;;;Descurainia_gilva_photo;Descurainia_gilva_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Descurainia millefolia;Brassicaceae;(Jacq.) Webb \& Berthel.;;;;Descurainia_millefolia_photo;Descurainia_millefolia_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
