Family;Species;Author;Synonyms;LocalName;FileNamePhoto;FileNameID;Comments;FigOneWidth;FigTwoWidth
Moraceae;Ficus sarmentosa;Buch.-Ham. ex Sm.;;;Ficus_sarmentosa_1.jpg;Ficus_sarmentosa_2.jpg;;;
Moraceae;Ficus semicordata;Buch.-Ham. ex Sm.;;Drooping fig;Ficus_semicordata_1.jpg;Ficus_semicordata_2.jpeg;;;
Moraceae;Morus alba;L.;;Mulberry;Morus_alba_1.jpg;Morus_alba_2.jpg;;;
Moraceae;Morus serrata;Roxb.;;Himalayan Mulberry;Morus_serrata_1.jpg;Morus_serrata_2.jpg;;;
Myricaceae;Myrica esculenta;Buch.-Ham. ex D.Don;;Box Myrtle;Myrica_esculenta_1.jpg;Myrica_esculenta_2.jpg;;;
Myrtaceae;Syzygium cumini;(L.) Skeels;;Indian Blackberry;Syzygium_cumini_1.jpg;Syzygium_cumini_2.jpg;;;
Oleaceae;Chrysojasminum humile;(L.) Banfi.;;;Chrysojasminum_humile_1.jpg;Chrysojasminum_humile_2.jpg;;;
Oleaceae;Fraxinus floribunda;Wall.;;;Fraxinus_floribunda_1.jpg;Fraxinus_floribunda_2.jpg;;;
Oleaceae;Jasminum officinale;L.;;;Jasminum_officinale_1.jpg;Jasminum_officinale_2.jpg;;;
Oleaceae;Ligustrum sinense;Lour.;;Chinese Privet;Ligustrum_sinense_1.jpg;Ligustrum_sinense_2.jpg;;;
Oleaceae;Osmanthus suavis;King ex C.B. Clarke;;;Osmanthus_suavis_1.jpeg;Osmanthus_suavis_2.jpeg;;;
Pentaphylacaceae;Eurya acuminata;DC.;;;Eurya_acuminata_1.JPG;Eurya_acuminata_2.JPG;;;
Pentaphylacaceae;Eurya cerasifolia;(D.Don) Kobuski;;Cherry-Leaf Eurya ;Eurya_cerasifolia_1.jpg;Eurya_cerasifolia_2.jpg;;;
Phyllanthaceae;Phyllanthus parvifolius;Buch.-Ham. ex D.Don;;;Phyllanthus_parvifolius_1.jpg;Phyllanthus_parvifolius_2.jpg;;;
Pinaceae;Abies pindrow;(Royle ex D.Don) Royle;;West Himalayan Fir;Abies_pindrow_1.jpg;Abies_pindrow_2.jpg;;;
Pinaceae;Abies spectabilis;(D.Don) Mirb.;;;Abies_spectabilis_1.jpg;Abies_spectabilis_2.jpg;;;
Pinaceae;Picea smithiana;(Wall.) Boiss.;;;Picea_smithiana_1.jpg;Picea_smithiana_2.jpg;;;
Pinaceae;Pinus roxburghii;Sarg.;;Chir Pine;Pinus_roxburghii_1.jpg;Pinus_roxburghii_2.jpg;;;
Pinaceae;Pinus wallichiana;A.B.Jacks.;;;Pinus_wallichiana_1.jpg;Pinus_wallichiana_2.jpg;;;
Pinaceae;Tsuga dumosa;(D.Don) Eichler;;Himalayan Hemlock;Tsuga_dumosa_1.jpg;Tsuga_dumosa_2.jpg;;;
Polygalaceae;Polygala arillata;Buch.-Ham. ex D.Don;;;Polygala_arillata_1.jpg;Polygala_arillata_2.jpg;;;
Primulaceae;Ardisia macrocarpa;Wall.;;;Ardisia_macrocarpa_1.jpeg;Ardisia_macrocarpa_2.jpeg;;;
Primulaceae;Maesa chisia;D. Don;;;Maesa_chisia_1.jpeg;Maesa_chisia_2.jpeg;;;
Primulaceae;Myrsine africana;L.;;Cape Myrtle;Myrsine_africana_1.jpg;Myrsine_africana_1;;;
Primulaceae;Myrsine semiserrata;Wall.;;Blueberry Myrtle;Myrsine_semiserrata_1.jpg;Myrsine_semiserrata_2.jpg;;;
Ranunculaceae;Clematis acuminata;DC.;;;Clematis_acuminata_1.jpeg;Clematis_acuminata_2.jpeg;;;
Ranunculaceae;Clematis alternata;Kitam. \& Tamura;;;Clematis_alternata_1.jpg;Clematis_alternata_2.jpg;;;
Ranunculaceae;Clematis barbellata;Edgew.;;Brown Clematis;Clematis_barbellata_1.jpg;Clematis_barbellata_2.jpg;;;
Ranunculaceae;Clematis buchananiana;DC.;;White Clematis;Clematis_buchananiana_1.jpeg;Clematis_buchananiana_2.jpeg;;;
Ranunculaceae;Clematis connata;DC.;;Himalayan Clematis;Clematis_connata_1.jpg;Clematis_connata_2.jpg;;;
Ranunculaceae;Clematis grata;Wall.;;Charming Clematis;Clematis_grata_1.jpg;Clematis_grata_2.jpg;;;
Ranunculaceae;Clematis graveolens;Lindl.;;;Clematis_graveolens_1.jpg;Clematis_graveolens_2.jpg;drawing might be Clematis orientalis;;
Ranunculaceae;Clematis grewiiflora;DC.;;Black Climber;Clematis_grewiiflora_1.jpg;Clematis_grewiiflora_2.jpg;;;
Ranunculaceae;Clematis montana;Buch.-Ham. ex DC.;;Anemone Clematis;Clematis_montana_1.jpg;Clematis_montana_2.jpg;;;
Ranunculaceae;Clematis phlebantha;L.H.J.Williams;;;Clematis_phlebantha_1.jpg;Clematis_phlebantha_2.jpg;subshrub;;
Ranunculaceae;Clematis roylei;Rehder;;Royl's Clematis;Clematis_roylei_1.jpg;Clematis_roylei_2.jpg;;;
Ranunculaceae;Clematis tibetana;Kuntze.;;;Clematis_tibetana_1.jpg;Clematis_tibetana_2.jpg;;;
Rhamnaceae;Berchemia edgeworthii;Lawson;;;Berchemia_edgeworthii_1.jpg;Berchemia_edgeworthii_2.jpg;;;
Rhamnaceae;Rhamnus purpurea;Edgew.;;Purple Buckthorn;Rhamnus_purpurea_1.jpeg;Rhamnus_purpurea_1.jpeg;;;
Rosaceae;Cotoneaster affinis;Lindl.;Cotoneaster bacillaris;;Cotoneaster_affinis_1.jpg;Cotoneaster_affinis_2.jpg;;;
Rosaceae;Cotoneaster frigidus;Wall. ex Lindl.;;;Cotoneaster_frigidus_1.jpg;Cotoneaster_frigidus_2.jpg;;;
Rosaceae;Cotoneaster integrifolius;(Roxb.) G.Klotz;;Entire-leaved Cotoneaster;Cotoneaster_integrifolius_1.jpg;Cotoneaster_integrifolius_2.jpg;;;
Rosaceae;Cotoneaster microphyllus;Wall. ex Lindl.;;;Cotoneaster_microphyllus_1.jpg;Cotoneaster_microphyllus_2.jpg;;;
Rosaceae;Cotoneaster rotundifolius;Wall. ex Lindl.;;;Cotoneaster_rotundifolius_1.jpg;Cotoneaster_rotundifolius_2.jpg;;;
Rosaceae;Eriobotrya dubia;(Lindl.) Decne.;;;Eriobotrya_dubia_1.jpeg;Eriobotrya_dubia_2.jpeg;;;
Rosaceae;Eriobotrya elliptica;Lindl.;;;Eriobotrya_elliptica_2.jpg;Eriobotrya_elliptica_2.jpg;;;
Rosaceae;Malus baccata;(L.) Borkh.;;Siberia Crab Apple;Malus_baccata_1.jpeg;Malus_baccata_2.jpeg;;;
Rosaceae;Malus domestica;Borkh.;;Apple;Malus_domestica_1.jpg;;;;
Rosaceae;Neillia rubiflora;D.Don;;East Himalayan Neillia;Neillia_rubiflora_1.jpg;Neillia_rubiflora_1.jpg;;;
Rosaceae;Neillia thyrsiflora;D.Don;;;Neillia_thyrsiflora_1.jpg;Neillia_thyrsiflora_2.jpg;;;
Rosaceae;Prinsepia utilis;Royle;;Himalayan Cherry Prinsepia;Prinsepia_utilis_1.jpeg;Prinsepia_utilis_2.jpeg;;;
Rosaceae;Prunus amygdalus;Batsch;;Almond Tree;Prunus_amygdalus_1.jpg;Prunus_amygdalus_2.jpg;;;
Rosaceae;Prunus armeniaca;L.;;Apricot;Prunus_armeniaca_1.jpg;Prunus_armeniaca_2.jpg;;;
Rosaceae;Prunus bracteopadus;Koehne.;;;Prunus_bracteopadus_1.jpg;Prunus_bracteopadus_2.jpg;No reliable info found, migh tbe Prunus napaulensis, illustration for that;;
Rosaceae;Prunus cerasoides;Buch.-Ham. ex D.Don;;Indian Cherry;Prunus_cerasoides_1.jpg;Prunus_cerasoides_2.jpg;;;
Rosaceae;Prunus cornuta ;(Wall. ex Royle) Steud.;;Himalayan Bird Cherry;Prunus_cornuta_1.jpeg;Prunus_cornuta_1.jpeg;;;
Rosaceae;Prunus davidiana;(Carriere) Franch;;;Prunus_davidiana_1.jpeg;Prunus_davidiana_2.jpeg;;;
Rosaceae;Prunus himalaica;Kitam.;;;Prunus_himalaica_1.jpg;Prunus_himalaica_2.jpg;Pictures from https://www.treesandshrubsonline.org/articles/prunus/prunus-himalaica, Bark like Betula utilis;;
Rosaceae;Prunus persica;(L.) Batsch;;Peach;Prunus_persica_1.jpg;Prunus_persica_2.jpg;;;
Rosaceae;Pyracantha crenulata;(Roxb. ex D.Don) M.Roem.;;;Pyracantha_crenulata_1.jpg;Pyracantha_crenulata_2.jpg;;;
Rosaceae;Pyrus communis;L.;;Pear;Pyrus_communis_1.jpg;;;;
Rosaceae;Pyrus pashia;Buch.-Ham. ex D.Don;;Wild pear;Pyrus_pashia_1.jpg;Pyrus_pashia_2.jpg;;;
Rosaceae;Rosa macrophylla;Lindl.;;Tondondze, Himalayan Musk rose;Rosa_macrophylla_1.jpg;Rosa_macrophylla_2.jpg;;;
Rosaceae;Rosa moschata;Herrm.;;Musj Rose;Rosa_moschata_1.jpg;Rosa_moschata_2.jpg;;;
Rosaceae;Rosa sericea;Wall. ex Lindl.;;Silky Rose;Rosa_sericea_1.jpg;Rosa_sericea_2.jpg;;;
Rosaceae;Rubus acuminatus;Smith;;;Rubus_acuminatus_1.jpeg;Rubus_acuminatus_2.jpeg;;;
Rosaceae;Rubus biflorus;Buch.-Ham. ex Sm.;;;Rubus_biflorus_1.jpeg;Rubus_biflorus_2.jpeg;;;
Rosaceae;Rubus ellipticus;Sm.;;Yellow Himalayan Raspberry;Rubus_ellipticus_1.jpg;Rubus_ellipticus_2.jpg;;;
Rosaceae;Rubus fockeanus;Kurz;;;Rubus_fockeanus_1.jpeg;Rubus_fockeanus_2.jpeg;;;
Rosaceae;Rubus hoffmeisterianus;Kunth \& Bouche;;;Rubus_hoffmeisterianus_1.jpg;;;;
Rosaceae;Rubus niveus;Thunb.;;;Rubus_niveus_1.jpg;Rubus_niveus_2.jpg;;;
Rosaceae;Rubus paniculatus forma paniculatus;Sm.;;Heart-leaf Raspberry;Rubus_paniculatus_1.jpg;Rubus_paniculatus_2.jpg;;;
Rosaceae;Rubus pedunculosus;D. Don;;;Rubus pedunculosus_1.jpeg;Rubus pedunculosus_2.jpeg;;;
Rosaceae;Rubus rosifolius;Sm.;;Roseleaf Bramble;Rubus_rosifolius_1.jpg;Rubus_rosifolius_2.jpg;;;
Rosaceae;Rubus tiliaceus;(Sm.) H. Hara;Rubus paniculatus forma tiliaceus;;Rubus_tiliaceus_1.jpg;;;;
Rosaceae;Sorbaria tomentosa;(Lindl.) Rehder;;Himalayan Sorbaria;Sorbaria_tomentosa_1.jpg;;;;
Rosaceae;Sorbus cuspidata ;(Spach) Hedl.;Micromeles vestita;;Sorbus_cuspidata_1.jpg;Sorbus_cuspidata_2.jpg;;;
Rosaceae;Sorbus foliolosa;(Wall.) Spach;;;Sorbus_foliolosa_1.jpeg;Sorbus_foliolosa_2.jpeg;;;
Rosaceae;Sorbus lanata;(D. Don) Schauer;Micromeles lanata;Hairy Rowan;Sorbus_lanata_1.jpg;Sorbus_lanata_2.jpg;differs from S. cuspidata in the sharply lobulate leaves less white beneath and sometimes almost glabrous by autumn;;
Rosaceae;Sorbus microphylla;(Wall. ex Hook.f.) Wenz.;;Small Leaf Rowan;Sorbus_microphylla_1.jpg;Sorbus_microphylla_2.jpg;;;
Rosaceae;Sorbus rhamnoides;(Decne.) Rehder;Micromeles rhamnoides;;Micromeles_rhamnoides_1.jpg;Micromeles_rhamnoides_2.jpg;;;
Rosaceae;Spiraea arcuata;Hook. f.;;;Spiraea_arcuata_1.jpeg;Spiraea_arcuata_2.jpeg;;;
Rosaceae;Spiraea bella;Sims.;;Pretty Spirea;Spiraea_bella_1.jpeg;Spiraea_bella_2.jpeg;;;
Rosaceae;Stranvaesia nussia;(D. Don) Decne.;;;Stranvaesia_nussia_1.JPG;Stranvaesia_nussia_2.JPG;;;
Rubiaceae;Himalrandia tetrasperma;(Wall. ex Roxb.) T.Yamaz.;;Himalayan Randia;Himalrandia_tetrasperma_1.jpg;Himalrandia_tetrasperma_2.jpg;;;
Rubiaceae;Leptodermis kumaonensis;Parker;;;Leptodermis_kumaonensis_1.jpeg;Leptodermis_kumaonensis_2.jpeg;;;
Rubiaceae;Leptodermis stapfiana;H.J.P.Winkl.;;East-Himalayan Leptodermis;Leptodermis_stapfiana_1.jpg;Leptodermis_stapfiana_2.jpg;;;
Rubiaceae;Luculia gratissima;(Wall.) Sweet;;;Luculia_gratissima_1.jpg;Luculia_gratissima_2.jpg;;;
Rubiaceae;Neohymenopogon parasiticus;(Wall.) Bennet;;;Neohymenopogon_parasiticus_1.jpg;Neohymenopogon_parasiticus_2.jpg;;;
Rubiaceae;Rubia manjith;Roxb. ex Fleming;;;Rubia_manjith_1.jpg;Rubia_manjith_2.jpg;;;
Rubiaceae;Spermadictyon suaveolens;Roxb.;;;Spermadictyon_suaveolens_1.jpeg;Spermadictyon_suaveolens_2.jpeg;;;
Rutaceae;Boenninghausenia albiflora;(Hook.) Rchb. ex Meisn.;;White Himalayan Rue;Boenninghausenia_albiflora_1.jpeg;Boenninghausenia_albiflora_2.jpeg;;;
Rutaceae;Skimmia laureola;Franch.;;;Skimmia_laureola_1.jpg;Skimmia_laureola_2.jpg;;;
Rutaceae;Zanthoxylum armatum;DC.;;Nepal pepper;Zanthoxylum_armatum_1.jpeg;Zanthoxylum_armatum_2.jpeg;;;
Rutaceae;Zanthoxylum bungeanum var. bungeanum;Babu;Zanthoxylum nepalense;;Zanthoxylum_bungeanum_bungeanum_1.jpg;Zanthoxylum_bungeanum_bungeanum_2.jpg;;;
Rutaceae;Zanthoxylum oxyphyllum;Edgew.;;Prickly Ash;Zanthoxylum_oxyphyllum_1.jpg;Zanthoxylum_oxyphyllum_2.jpg;;;
